Walking bob,Peering,Gap dip
4.678075691805059,7.5726454515744654,44.0308713119451
5.126150879066253,5.225177847641978,87.517300158986
11.323299360748566,7.641734405076722,31.960735549580964
3.698229827491986,6.682063712784719,31.269446994658388
8.091327487890268,6.3972921695389795,39.65331414614596
5.670001659256376,14.909167794732378,36.00720477134071
21.511744228303012,3.3794021659118876,42.64203160538586
8.536264453029414,6.103869356852934,55.94459512893892
20.116251299197163,3.8050123130196765,65.74079071144754
9.033468340467387,3.505310078681197,46.8006799770987
21.658159565972955,3.8550995794275704,22.179827098900667
13.59060122929316,5.111083260706288,42.933472415404346
7.9759229309698725,4.478953606645344,51.03480899662215
6.6482675291562146,5.678362778377637,51.08532212227922
8.43433212218631,11.491610046929594,37.42425478488795
4.848719182451517,17.287203826213176,61.85443779250648
7.085088342067145,13.557489778892851,37.85248653517414
5.939641529297275,3.2358453308934965,43.293679862671326
4.397222567223831,9.561661097822428,31.964793170088303
8.670809117116159,7.69153137186241,64.13436564940245
2.584942923108659,10.847097998727815,73.86403193814165
3.92471686387339,4.315545741408687,30.29919869568983
